id,name,description,unit_amount_usd_cents,currency,sku,image
damiao-dm-j4310,DAMIAO DM-J4310-2EC,10:1 MIT-mode joint module with dual encoders,11900,usd,MR-ACT-4310,https://robotmabel.github.io/store/assets/img/photos/damiao-dm-j4310.webp
damiao-dm4340,DAMIAO DM4340,"9 N·m geared joint motor, dual encoder",16900,usd,MR-ACT-4340,https://robotmabel.github.io/store/assets/img/photos/damiao-dm4340.webp
damiao-dm8009p,DAMIAO DM8009P,"40 N·m joint module, V4",35900,usd,MR-ACT-8009,https://robotmabel.github.io/store/assets/img/photos/damiao-dm8009p.webp
damiao-dm10422p,DAMIAO DM10422P,400 N·m hollow-shaft torso actuator,37900,usd,MR-ACT-10422,https://robotmabel.github.io/store/assets/img/products/damiao-dm10422p.svg
unitree-go-m8010-6,Unitree GO-M8010-6,"Quasi-direct-drive joint motor, 23.7 N·m peak",15900,usd,MR-ACT-GO8010,https://robotmabel.github.io/store/assets/img/photos/unitree-go-m8010-6.webp
unitree-a1,Unitree A1 Motor,33.5 N·m high-torque joint motor,30900,usd,MR-ACT-A1,https://robotmabel.github.io/store/assets/img/photos/unitree-a1.webp
xiaomi-cybergear-rs01,Xiaomi CyberGear RS-01,"Micro joint actuator, 12 N·m peak",12900,usd,MR-ACT-RS01,https://robotmabel.github.io/store/assets/img/photos/xiaomi-cybergear-rs01.webp
xiaomi-cybergear-rs03,Xiaomi CyberGear RS-03,"High-torque CyberGear, 60 N·m peak",34900,usd,MR-ACT-RS03,https://robotmabel.github.io/store/assets/img/products/xiaomi-cybergear-rs03.svg
eyou-phu17h-80,EYou PHU17H-80,"Size-17 harmonic joint, 101:1, CANopen",119900,usd,MR-ACT-PHU17,https://robotmabel.github.io/store/assets/img/products/eyou-phu17h-80.svg
eyou-phu20h-100,EYou PHU20H-100,"Size-20 harmonic joint, 100:1, CANopen",149900,usd,MR-ACT-PHU20,https://robotmabel.github.io/store/assets/img/products/eyou-phu20h-100.svg
feetech-hl3915m,Feetech HL3915M,"14 kg·cm dual-shaft bus servo, steel gears",4400,usd,MR-ACT-3915,https://robotmabel.github.io/store/assets/img/photos/feetech-hl3915m.webp
feetech-hl3930m,Feetech HL3930M,"35 kg·cm dual-shaft bus servo, metal case",6900,usd,MR-ACT-3930,https://robotmabel.github.io/store/assets/img/photos/feetech-hl3930m.webp
feetech-sts3215,Feetech STS3215,30 kg·cm magnetic-encoder bus servo,1900,usd,MR-ACT-3215,https://robotmabel.github.io/store/assets/img/photos/feetech-sts3215.webp
dynamixel-xc330,Dynamixel XC330-T181-T,"Smart servo, 181:1, TTL",13900,usd,MR-ACT-XC330,https://robotmabel.github.io/store/assets/img/photos/dynamixel-xc330.webp
nema17-foc,NEMA 17 Closed-Loop Stepper,"Stepper + FOC driver, 0.45 N·m",4400,usd,MR-ACT-N17FOC,https://robotmabel.github.io/store/assets/img/products/nema17-foc.svg
